Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Associate Data Scientist,Employer Provided Salary:$44 Per Hour,Data Scientist,"ASSOCIATE DATA SCIENTIST
Our client, a leading Pacific Northwest utility provider is looking for a REMOTE Associate Data Scientist who is willing to work West Coast hours. This position will start as a 4 month contract, however there is a possibility that this contract with extend and/or convert to a full time role.
This Data Scientist will join the Data Strategy and management team which bears the critical responsibility to create value for customers and business operations through the collection, organization, and interpretation of data from our client’s expansive data portfolio. This group directly supports and impacts the success of our client’s strategic pillars: de-carbonization & electrification, building a resilient grid, operational excellence, and retaining & growing our customer base.
The ideal candidate is skillful at using large data sets to find opportunities for process optimization and using models to test the effectiveness of different courses of action. They must have strong experience in data mining, building and implementing models, and driving toward clear business outcome. They must be able to work effectively with a wide range of stakeholders to identify business requirements and collaborate with functional teams to design and build fully stacked solutions. They should be great communicators and presenters even to high-level executives. The right candidate will have a passion for bringing creative solutions to provide clean and reliable energy to people.",Motus Recruiting and Staffing,4.0,"East Portland, OR",51 to 200 Employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Sr. Data Scientist, Expansion",Employer Provided Salary:$142K,Data Scientist,"Slack is hiring an experienced data scientist for our Expansion product team. The Expansion team is a cross-functional team that builds foundational product experiences to help teams become successful on Slack. Our team focuses on the critical moments within the team’s lifecycle: creating and joining workspaces, in-product education, expanding the number of users on Slack, and purchasing & billing.

In this role, you will inform and influence decisions using data and research, by crafting our learnings into narratives and partnering with key decision makers within the company. You will be a strong partner to researchers with varying backgrounds, including user researchers, market researchers, and survey scientists.

Slack has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?",Slack,4.7,"Denver, CO",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Senior Data Analyst,Employer Provided Salary:$91K - $133K,Data Analyst,"About Us
We want to help small businesses win. That’s why we’re here.
We connect small business owners to investors – to create jobs, support local communities and power economies – because we believe that people are made to do more. And we want to help them realize their goals.
So, we created the leading small business loan platform. At the end of 2020, Investors had lent $15.2 billion in 143,000 loans to 100,000 small business owners globally. There’s never been a better time to join!
Be part of the team that changes everything. Let’s build the place where small businesses can get the funding they need to win and leave a legacy behind, forever.
*Colorado Only* Base salary range of $91,000 to $133,000 (depending on experience) + equity + benefits

#LI-AWFC
#Biz01",Funding Circle US,3.9,"Denver, CO",501 to 1000 Employees,2010,Company - Private,Lending,Finance,$50 to $100 million (USD)
Senior Data Analyst,Employer Provided Salary:$80K - $110K,Data Analyst,"Millions is a new consumer fin-tech startup. We are looking for candidates with experience looking at analytics including:
- cohort data
- user retention
- campaign rates
The role will require working directly with the CEO, CTO, and head of growth and will have direct impacts on products/features we build, campaigns we run, and promotions we do.
Candidates should have experience with either:",Millions,-1,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,Data Scientist,"Target RWE is open to remote candidates.
Summary
Target RWE is looking to hire a Data Scientist who will use their analytical, statistical, and programming skills in support of internal and external data analysis requests. The Data Scientist will aggregate and organize data from disparate sources in support of data analysis.
Job Details/Main Responsibilities
Extract and manipulate data from large and diverse sources in support of analysis requests.
Provide programming in support of statistical analyses (quarterly reports, client queries, manuscript support) by generating tables, listings, or figures.",TARGET PHARMASOLUTIONS,4.8,"Durham, NC",51 to 200 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
PRACTICE LEADER - DATA & ANALYTICS,Employer Provided Salary:$120K - $145K,Data Analyst,"Sphere Software is looking for an entrepreneurial and progressive leader to lead the growth and success of our data practice. The Practice Lead advises and partners with our sales teams and clients on solving their business problems by leveraging Artificial Intelligence, Machine Learning, Data Analytics, Data Engineering, Data Science and Business Intelligence offerings and capabilities. This individual will work closely with the sales, delivery, and marketing teams, and will be involved in providing objective advice, expertise and specialist skills with the aim of creating value, maximizing growth or improving the business performance.
Location: Remotely
Type: Direct Hire
Start Date: ASAP",Sphere Inc.,4.8,Remote,1 to 50 Employees,2005,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Senior Audit Data Analyst,Employer Provided Salary:$90K - $125K,Data Analyst,"We are the global leader in entertainment, hospitality, convention centers, shopping and gaming and we are seeking a corporate Senior Audit Data Analyst.
The Senior Audit Data Analyst will be Reporting to the Director of Financial Audit and Innovation, the Data Analyst will analyze large amounts of raw data to help the Internal Audit department make smarter decisions and drive innovation. This person will be highly analytical with a knack for analysis, programming, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. This individual should possess natural curiosity and a creative mind. As you mine, interpret, and clean out data, we will rely on you to ask questions, connect the dots, and uncover opportunities that lie hidden within.
Responsibilities:
Include the following:",iNtegrity+,-1,"Las Vegas, NV",-1,-1,-1,-1,-1,-1
[Remote] Data Scientist (Customer Facing exp req),Employer Provided Salary:$90K - $120K,Data Scientist,"[Remote] Data Scientist (Customer Facing exp req)
Location: Atlanta, GA / Washington DC
Salary: $90,000 – $120,000 DOE + Benefits
Benefits: Medical, Dental, Vision, 401K, Holidays, PTO
Job Type: Full-Time
Typical Hours: M-F, 9 AM ET – 6 PM ET
Travel: 15%
Start Date: ASAP
Sponsorship is not available
[Remote] Data Scientist (Customer Facing exp req) Description
Our client is looking an experienced Data Scientist to add to their team. Ideal candidates must be highly customer-focused and results-oriented as they will be the “life support” of the company’s customer solutions. Reporting to the SVP of Operations, you will put yourself in the shoes of the front-line field representatives and back-office teams that support them and figure out how they can use the power of the data to help them become more efficient and effective in the right way and at the right time. This is an exciting opportunity to join a company with a strong product market and exceptional customer service.",#twiceasnice Recruiting,3.0,"Washington, DC",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Sr. Data Scientist,Employer Provided Salary:$140K - $150K,Data Scientist,"Sr. Data Scientist
Expert Technical Solutions has an immediate opening for a Data Scientist with one of our premier clients in Atlanta, GA. This is a hybrid role – you will work 1-2 days onsite in our clients’ downtown Atlanta office and 2-3 days from home.
We have an opportunity on the Data Science team. We are looking for an experienced Senior Data Scientist to join a team of Data Scientists and Associate Data Scientists, to focus on providing support and solutions to our manufacturing operations. Working closely with business partners and engineers, the Data Scientists support operations through development and deployment of useful and scalable statistical, machine learning, and deep learning models that make our facilities safe, efficient, and optimal.
Responsibilities:",Expert Technical Solutions,-1,"Atlanta Central City Post Offi, GA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$104K - $159K,Data Scientist,"The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity to analyze large data sets to inform decision-making against foreign threats. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to ensure solutions to complex data problems and take full advantage of the NSA's software and hardware capabilities in all areas of our enterprise, including analytic capabilities, research, and foreign intelligence operations. Data Scientists are hired into positions directly supporting a technical mission office or the Data Scientist Development Program (DSDP). The NSA/CSS Data Scientist Development Program is a three-year opportunity to build your data science talent, experience the breadth of data science at NSA through six- to nine-month assignments in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. You will have opportunities to attend technical conferences with experts from industry and academia. You will routinely discuss and share NSA's challenges and successes at weekly technical roundtables. We foster an environment where you will develop your data science skills, allowing you to quickly contribute to NSA's mission. As a member of a technical mission office or the DSDP, Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. As a Data Scientist at NSA, responsibilities may include: - Collecting and combining data from multiple sources - Uncovering and exploring anomalous data (including metadata) - Applying the scientific process to data evaluation, performing statistical inference, and data mining - Developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans. - Designing and developing tools and techniques for analysis - Analyzing data using mathematical/statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",National Security Agency,3.5,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
Senior Data Scientist - SHOP (Americas - Remote),-1,Data Scientist,"Job Description

We're looking for a Senior Data Scientist to join our team as we turn Shop into one of the most beloved products and brands in the world. We want shoppers to be able to develop meaningful connections with the brands they love, and we believe that Shop is the answer to helping foster those relationships with the powerhouse of Shopify merchants we love and support.
Data is a crucial part of Shopify’s mission to make commerce better for everyone. We organize and interpret petabytes of data to provide solutions for our merchants and stakeholders across the organization. From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to positively impact our success.",Shopify,4.2,"Elizabeth, NJ",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$1 to $2 billion (USD)
"AI/ML - Data Scientist, Siri Data",-1,Data Scientist,"Summary
Posted: Aug 5, 2021
Weekly Hours: 40
Role Number:200272534
Do you get excited by driving product impact via measurement and evaluation, for products and services used by hundreds of millions of people globally? The vision for the Siri Data organization is to improve Siri by using data as the voice of our customers. Within this organization the mission of the Search Analytics team is to inform product evolution through measurement, evaluation, and analysis of the user experience. You will partner with Search engineering teams to improve search quality and guide feature development with data, to deliver amazing search experiences across iPhone, iPad, HomePod, Mac, Watch, tv, across dozens of languages.",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist II,-1,Data Scientist,"Founded in 1985, SelectQuote provides solutions that help consumers protect their most valuable assets: their families, health and property. The company pioneered the model of providing unbiased comparisons from multiple, highly rated insurance companies allowing consumers to choose the policy and terms that best meet their unique needs. Two foundational pillars underpin SelectQuote's success: a strong force of highly trained and skilled agents, who provide consultative needs analysis for every consumer, and proprietary technology that sources and routes high-quality leads. The company has three core business lines: SelectQuote Senior, SelectQuote Life and SelectQuote Auto and Home. SelectQuote Senior, the largest and fastest-growing business, serves the needs of a demographic that sees 10,000 people turn 65 each day with a range of Medicare Advantage and Medicare Supplement plans.
Job Summary:
Responsible for the development of analytical tools and self-adjusting algorithms used for the automation of critical business functions. The position involves communicating data findings to both technology leaders and business managers to help the company overcome business challenges. The data scientist explores and analyzes information from multiple sources in order to gain maximum insight that can give the company a competitive advantage.",SelectQuote,3.3,"Overland Park, KS",1001 to 5000 Employees,1985,Company - Public,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD)
"Senior Data Analyst, Strategy and Research",-1,Data Analyst,"We are looking for a self-motivated Senior Analyst who can act as an internal consultant to our senior leadership to help develop the Analysis and Data Science Culture at Well Woven for e-commerce performance marketing. This person will deliver data-driven insights for their assigned business unit within the company.
The ideal candidate can support executives and other senior management by being an active participant in business strategy discussions with them, understanding key drivers of financial success, listening to problems and synthesizing them into solvable analytics problems, and bringing actionable solutions that are based on the numbers.
Responsibilities
Develop the relationship with senior management and executives",Well Woven Inc.,4.0,"New York, NY",51 to 200 Employees,2014,Company - Private,Consumer Products Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Scientist Senior - Natural Language Processing (100% Remote Available),-1,Data Scientist,"Purpose of Job Uses advanced techniques that integrate traditional and non-traditional datasets to enable analytical solutions. Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications; Builds analytical solutions leveraging internal and external applications to deliver value and create competitive advantage. Translates complex analytical and technical concepts to non-technical employees.

Job Requirements
About USAA

USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.

USAA Careers – World Class Benefits (31 seconds)


Identifies and manages existing and emerging risks that stem from business activities and the job role.

Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled.

Follows written risk and compliance policies and procedures for business activities.

Partners with business leaders across the organization to define business problems and research questions; serves as key resource and Subject Matter Expert (SME) on cross functional, matrixed teams to solve highly complex work critical to the organization.

Builds large and complex information sets; Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.

Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.

Serves as key resource and Subject Matter Expert (SME) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.

Works with IT to translate prototypes into new products, services, and features.

Builds and maintains a robust library of reusable algorithms and supporting code, such that research efforts are based on the highest quality data, are transparently conducted, and can be productionized and are reproducible.

Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.

Maintains academic and industry relationships for the purposes of research; maintains expertise and awareness of cutting-edge techniques, technologies and potential business solutions.


Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field. 6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.

6 years of experience in predictive modeling, large data analysis and computer science.

Experience in stochastic modeling, machine learning, and other advanced mathematical techniques (e.g., neural nets, simulation, graph analysis).

Solid experience in at least one compiled language (e.g., Java, C or more or more) and one dynamic scripting language (Python, PERL, Ruby).

Experience in data mining and statistical analysis.

Excellent pattern recognition and predictive modeling skills.

Knowledge and application of Data Science principals and experience with data science methodologies.

Experience with the following statistical and predictive modeling approaches: Gaussian Process; Markov Models; Hierarchical Clustering; K-Means; Linear Regression; Logistic Regression; Monte Carlo Simulation; Neural Networks.

Technical skills, consulting experience, and business savvy to interface with all levels and disciplines within our customers’ organization.

Demonstrated ability to communicate ideas with team members and/or business leaders to convey and present very technical information to an audience that may have little or no understanding of technical concepts in data science.

When you apply for this position, you will be required to answer some initial questions. This will take approximately 5 minutes. Once you begin the questions you will not be able to finish them at a later time and you will not be able to change your responses.


Hands-on experience developing products that utilize advanced machine learning techniques like deep learning in areas such as computer vision, Natural Language Processing (NLP), sensor data from the Internet of Things (IoT), and recommender systems; along with transitioning those solutions from the development environment into the production environment for full-time use.

PhD in Computer Science, Applied Mathematics, Quantitative Economics, Operations Research, Statistics, or related field with coursework in advanced Machine Learning techniques (Natural Language Processing, Deep Neural Networks, etc).

Experience in reinforcement learning, knowledge graphs and graph databases, Generative Adversarial Networks (GANs), semi-supervised learning, multi-task learning is a plus.

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.


USAA has an effective process for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market position. The salary range for this position is: $106,800 - $192,300* (this does not include geographic differential it may be applied based on your work location).

Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.

will be addressed on an individual-basis for applicable roles that are consistently scheduled for non-core hours.


At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.

Please click on the link below for more details.

USAA Total Rewards

Relocation assistance is available for this position.",USAA,3.7,United States,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD)
"AI/ML - Data Scientist (Machine Learning & Natural Language), Siri Understanding",-1,Machine Learning Engineer,"Summary
Posted: Aug 11, 2021
Weekly Hours: 40
Role Number:200207828
Play a part in the ongoing revolution in human-computer interaction. Give to a product that is redefining mobile computing. Build groundbreaking technology for large scale systems, spoken language, big data, natural language processing, and artificial intelligence. And work with the people who built the intelligent assistant that helps millions of people get things done — just by asking. Join the Siri team at Apple.
Key Qualifications
Expertise in natural language processing and machine learning, such as classification, feature engineering, information extraction, structured prediction, clustering, semi-supervised learning, topic modeling, and ranking.",Apple,4.3,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Mathematician - Game Design,-1,Game Designer,"Boom Entertainment is a technology company that is fueling the biggest winners in sports betting, gaming, and casino products. Working with professional sports leagues, media companies, and leading casino operators, Boom provides technology and games to many of the biggest names in the industry -- including NBC Sports, Barstool Sports, Penn National Gaming, MSG Networks, NASCAR, 8AM Golf, Yes Network, and many more.
As a company, we are looking for driven dreamers who want to make an impact on this industry and the world. We want people of integrity who are both open to learning and willing to challenge the norm. We want people who are curious, reliable, empathetic, and obsessed with quality.
Boom is known for its innovative, accessible, and truly fun products, operating world-class free-to-play games and technology for our partners and entertaining more than 3 million sports fans. In addition, we’re hard at work creating casino and sports betting games for distribution to casino and sportsbook operators in the legal US and international iGaming markets.",Boom Entertainment,4.9,Remote,1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Senior Data Analyst - Remote Eligible,Employer Provided Salary:$74K - $90K,Data Analyst,"Presbyterian Healthcare Services is in search of a Senior Data Analyst!
*This position is remote eligible to candidates located in the United States with the exclusion of the states: Washington, Ohio, Wyoming, and North Dakota.*
In this role, you will provide reporting/analytics and statistical expertise for development of accurate solutions based on business needs; Analyze and synthesize related and seemingly unrelated data into an audience appropriate story to support the business initiatives, accreditation, and regulatory compliance.
What we are looking for:
Bachelors Degree
Four or more years of experience in data compilation, reporting and analytics utilizing data and analytics tools",Presbyterian Healthcare Services,-1,Remote,10000+ Employees,1908,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
"Subject Matter Expert, Data Science",Employer Provided Salary:$183K,Subject Matter Expert,"The Defense Intelligence Senior-Level (DISL) employee is known for his/her technical or professional expertise, problem-solving ability, innovative research, valuable contributions to the Agency, standing in his/her technical field, influence on management, and spearheading critical technical and professional efforts. The continuous enhancement of breadth and/or depth of these skills and knowledge is essential. THE DISL: - Serves in an official position of DISL, regardless of his/her organizational level. DISLs are technical experts with continual achievements and accomplishments in their technical field. They solve the difficult technical problems. They are leaders in concepts or theories formulated, techniques, tradecraft, methods developed, and inventions. They continuously advance the arts and sciences, and/or the legal, fiscal, or logistical fields, and they make major contributions/improvements in management and infrastructures. - Provides incisive technical advice to senior management, offering solutions and technical perspective, as appropriate, for decision-making. Provides authoritative technical advice and input to leadership regarding research and technical development and serves as an NSA spokesperson on technical issues. Considers Agency goals and performance strategically and guides the Agency's overall direction. Ensures that the Agency achieves its mission by developing its major programs, goals, and plans. - Identifies the emerging strategies in the Directorates by developing relationships with key technical leaders to pull independent strategies together and facilitates leverages between mission elements, academia, and industry. Works with people and organizations outside his/her immediate organization-to include the Intelligence Community and the Department of Defense at large-to defend controversial or critical long-range NSA plans. - Leads the technical workforce, exhibiting leadership competencies and behaviors, and mentors subordinates to ensure the development of a cadre of future Senior Technical Leaders. Creates an environment that promotes employee engagement, collaboration, integration, information and knowledge sharing, and the candid, open exchange of diverse points of view. Legendary computer scientist Dr. Alan Kay said, 'The best way to predict the future is to invent it.' Through groundbreaking research and technology transfer activities, the NSA/CSS Computer and Analytic Sciences Research Group (R6) within NSA's Research Directorate is laying the groundwork for the Agency's future analytics and platforms. To build on the Group's successful track record of scientific and mission impact, we seek a highly motivated and technically creative leader to become R6's next Data Science Subject Matter Expert (SME). NSA's Research Directorate is a large, technically and geographically distributed organization of researchers engaged in designing and implementing analytic algorithms (and their underlying architectures, as necessary) that can curate, harvest, and put into context seemingly unrelated pieces of information from an ever-growing and diverse set of sources. Scalable computing, the capability to turn information overload to our advantage, is a core area of computer science research for NSA Research, driven by the opportunities and challenges of new analytics on large data sets. NSA Research also maintains awareness of the architectures that can operate at a scale, speed, agility, and security levels to perform big-data analytics. The Data Science Subject Matter Expert is responsible for providing subject matter expertise and world-class research in data science to include the following: - Serve as a subject matter expert on data science, artificial intelligence, machine learning, human machine teaming, statistics, visual analytics, human subject research, and adjacent fields. - Develop novel techniques in data science and related areas to further the Agency's capabilities and understanding of computer and analytic science. Apply these techniques to the Agency's missions, particularly those related to Information and Intelligence Analysis and Cyber Operations. - Provide significant data science subject matter leadership and mentoring. - Ensure that NSA' Research Directorate prioritizes work that supports exploration, discovery, situational awareness, knowledge management, authoring & sharing, 'do it yourself' analytics, compliance, and semi-automated workflow generation & execution. - Expand collaboration with other data science subject matter experts across the Research organization, the NSA enterprise, the Intelligence Community, Department of Defense, and academia. - Design, conduct, direct, and implement research using advanced statistical machine learning and other data science techniques within a modern, flexible computational architecture. - Provide subject matter expertise to short-and long-term technical efforts, and lead and direct these efforts. - Provide subject matter expertise to support conducting quantitative and qualitative controlled experiments that provide evidence to the efficacy of developed techniques. - Cultivate collaborative internal and external relationships with research leaders across the National Security Agency and in academia, industry, national labs, military service labs, other Intelligence Community organizations, and other United States Government entities. - Work effectively with senior leaders, research staff and external customers at all levels and operate sensitively in politically-charged situations. Areas of potential growth include but are not limited to: advanced research into artificial intelligence and machine learning, exploration of novel computer architectures (beyond cloud computing), and applications of social and behavioral sciences to the challenge of human and intelligent-machine teaming.",National Security Agency,3.5,"Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
